172.70.108.235|2025-09-29|08:43:51|GET|/api/collections/alerts/records?page=1&perPage=500&skipTotal=1&fields=id%2Cname%2Csystem%2Cvalue%2Cmin%2Ctriggered&sort=updated|200|68|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:43:51|POST|/api/realtime|204|0|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:44:16|GET|/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A43%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|379|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:44:16|GET|/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A43%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|1518|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:45:16|GET|/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A44%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|380|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:45:16|GET|/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A44%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|1523|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:45:32|GET|/|200|682|beszel.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.235|2025-09-29|08:46:16|GET|/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A45%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|384|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:46:16|GET|/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A45%3A17%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|1521|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.235|2025-09-29|08:46:25|GET|/api/realtime|200|1672|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.234|2025-09-29|08:50:01|POST|/api/realtime|204|0|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
162.158.23.55|2025-09-29|08:50:01|GET|/|200|835|llm.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.234|2025-09-29|08:50:02|POST|/api/realtime|204|0|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.193|2025-09-29|08:50:02|GET|/|302|39|kuma.010790.xyz|Uptime-Kuma/1.23.16
162.158.22.91|2025-09-29|08:50:03|GET|/|200|682|beszel.010790.xyz|Uptime-Kuma/1.23.16
172.68.234.243|2025-09-29|08:50:03|GET|/dashboard|200|2444|kuma.010790.xyz|Uptime-Kuma/1.23.16
172.68.234.162|2025-09-29|08:50:04|GET|/|200|4842|portainer.010790.xyz|Uptime-Kuma/1.23.16
162.158.23.224|2025-09-29|08:50:04|GET|/|200|21|010790.xyz|Uptime-Kuma/1.23.16
172.68.234.131|2025-09-29|08:50:05|GET|/|200|569|enzo.010790.xyz|Uptime-Kuma/1.23.16
129.159.230.50|2025-09-29|08:50:05|GET|/docs|200|938|api.padtaal.010790.xyz|Uptime-Kuma/1.23.16
172.68.234.130|2025-09-29|08:50:06|GET|/|302|0|jellyfin.010790.xyz|Uptime-Kuma/1.23.16
172.68.234.16|2025-09-29|08:50:07|GET|/|302|0|radarr.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.129|2025-09-29|08:50:07|GET|/web/|200|2154|jellyfin.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.154|2025-09-29|08:50:08|GET|/|302|0|prowlarr.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.104|2025-09-29|08:50:08|GET|/login?returnUrl=%2F|200|3186|radarr.010790.xyz|Uptime-Kuma/1.23.16
162.158.22.47|2025-09-29|08:50:08|GET|/|302|0|sonarr.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.154|2025-09-29|08:50:08|GET|/login?returnUrl=%2F|200|3202|prowlarr.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.234|2025-09-29|08:50:08|GET|/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A49%3A33%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|377|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.234|2025-09-29|08:50:08|GET|/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A49%3A33%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|1463|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.234|2025-09-29|08:50:08|GET|/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A49%3A33%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|377|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
172.70.108.234|2025-09-29|08:50:08|GET|/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27v7c0nr2ncnhxuog%27%20%26%26%20created%20%3E%20%272025-09-29%2008%3A49%3A33%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created|200|1463|beszel.010790.xyz|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0
162.158.22.70|2025-09-29|08:50:09|GET|/|200|639|qbittorrent.010790.xyz|Uptime-Kuma/1.23.16
172.68.234.139|2025-09-29|08:50:09|GET|/login?returnUrl=%2F|200|9654|sonarr.010790.xyz|Uptime-Kuma/1.23.16
162.158.22.125|2025-09-29|08:50:10|GET|/|200|791|bazarr.010790.xyz|Uptime-Kuma/1.23.16
162.158.22.88|2025-09-29|08:50:10|GET|/|307|0|jellyseerr.010790.xyz|Uptime-Kuma/1.23.16
129.159.230.50|2025-09-29|08:50:10|GET|/|200|59|sidekick-backend.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.103|2025-09-29|08:50:10|GET|/|200|1187|sidekick.010790.xyz|Uptime-Kuma/1.23.16
172.70.108.11|2025-09-29|08:50:11|GET|/login|200|48114|jellyseerr.010790.xyz|Uptime-Kuma/1.23.16
